MachineTools,1001,Object
RawPartLoadPrognosisType,1002,ObjectType
PrognosisListType,1003,ObjectType
PrognosisType,1004,ObjectType
ToolChangePrognosisType,1005,ObjectType
PartUnloadPrognosisType,1006,ObjectType
UtilityChangePrognosisType,1007,ObjectType
NotificationType,1008,ObjectType
ProcessChangeoverPrognosisType,1009,ObjectType
MaintenancePrognosisType,1010,ObjectType
ManualActivityPrognosisType,1011,ObjectType
MachineToolsFolderType,1012,ObjectType
EquipmentType,1013,ObjectType
MachineToolType,1014,ObjectType
BaseMonitoringType,1015,ObjectType
MonitoringType,1016,ObjectType
ProductionProgramStateMachineType,1017,ObjectType
ChannelMonitoringType,1018,ObjectType
ProductionProgramTransitionEventType,1019,ObjectType
InterruptionConditionType,1021,ObjectType
ProductionType,1023,ObjectType
SpindleMonitoringType,1024,ObjectType
ElementMonitoringType,1025,ObjectType
BaseProductionType,1027,ObjectType
MachineOperationMonitoringType,1028,ObjectType
ProductionPartTransitionEventType,1029,ObjectType
ProductionJobStateMachineType,1030,ObjectType
ProductionJobType,1031,ObjectType
ProductionJobListType,1032,ObjectType
ProductionJobTransitionEventType,1033,ObjectType
InterruptionByOperatorConditionType,1034,ObjectType
InterruptionExternalConditionType,1035,ObjectType
BaseIdentificationType,1036,ObjectType
NotificationEventType,1037,ObjectType
ProductionJobEndPrognosisType,1039,ObjectType
StacklightType,1040,ObjectType
LampType,1041,ObjectType
AlertConditionType,1042,ObjectType
ProductionPartStateMachineType,1043,ObjectType
WorkingUnitMonitoringType,1044,ObjectType
MachineIdentificationType,1045,ObjectType
SoftwareIdentificationType,1048,ObjectType
ToolListType,1049,ObjectType
IdentificationType,1050,ObjectType
AggregatedChannelMonitoringType,1051,ObjectType
BaseToolType,1055,ObjectType
ToolType,1056,ObjectType
MultiToolType,1057,ObjectType
InterruptionProcessConditionType,1060,ObjectType
ProductionPartType,1063,ObjectType
InterruptionToolChangeConditionType,1064,ObjectType
InterruptionMeasurementConditionType,1065,ObjectType
InterruptionClampingConditionType,1066,ObjectType
InterruptionSafetyConditionType,1067,ObjectType
InterruptionManualProcessStepConditionType,1068,ObjectType
InterruptionProcessIrregularityConditionType,1069,ObjectType
ProductionProgramType,1072,ObjectType
OverrideItemType,2002,VariableType
ToolLifeType,2003,VariableType
ProcessIrregularity,3002,DataType
PartQuality,3003,DataType
ChannelState,3004,DataType
SafetyMode,3005,DataType
LampColor,3007,DataType
LampStatus,3008,DataType
ControlMode,3009,DataType
NCProcessing,3010,DataType
WearIndication,3011,DataType
ProductionJobType_PartsInProduction_Part,5001,Object
MultiToolType_Tool,5002,Object
ProductionJobListType_ProductionJob,5003,Object
ProductionJobType_PartsInProduction,5004,Object
ProductionJobListType_ProductionJob_ProductionPrograms,5005,Object
ProductionJobListType_ProductionJob_ProductionPrograms_Program,5006,Object
ProductionJobType_State,5007,Object
ProductionJobListType_ProductionJob_State,5008,Object
ProductionPartType_State,5009,Object
ProductionType_ProductionPlan,5010,Object
MachineToolType_Production,5011,Object
ProductionProgramStateMachineType_Initialized,5012,Object
MachineToolType_Production_ProductionPlan,5013,Object
MachineToolType_Identification,5014,Object
StacklightType_Lamp,5015,Object
MachineToolType_Identification_Machine,5016,Object
ProductionProgramStateMachineType_Running,5017,Object
PrognosisListType_Prognosis,5018,Object
ProductionProgramStateMachineType_Ended,5019,Object
NotificationType_Messages,5020,Object
ProductionProgramStateMachineType_InitializedToRunning,5021,Object
ProductionProgramStateMachineType_RunningToEnded,5022,Object
ProductionJobType_ProductionPrograms,5023,Object
ProductionProgramType_State,5024,Object
ProductionJobListType_ProductionJob_ProductionPrograms_Program,5025,Object
NotificationType_Prognoses,5026,Object
ProductionProgramType_State_InitializedToRunning,5027,Object
ToolListType_Tool,5028,Object
ProductionProgramType_State_RunningToEnded,5029,Object
ProductionProgramStateMachineType_Aborted,5031,Object
ProductionProgramStateMachineType_AbortedToInitialized,5032,Object
ProductionProgramStateMachineType_Interrupted,5033,Object
ProductionProgramStateMachineType_InitializedToAborted,5034,Object
ProductionProgramStateMachineType_InterruptedToAborted,5035,Object
ProductionProgramStateMachineType_EndedToInitialized,5036,Object
ProductionProgramStateMachineType_InterruptedToRunning,5037,Object
ProductionProgramStateMachineType_RunningToAborted,5038,Object
ProductionProgramStateMachineType_RunningToInterrupted,5039,Object
ProductionProgramType_State_AbortedToInitialized,5040,Object
ProductionProgramType_State_EndedToInitialized,5041,Object
SoftwareIdentificationType_SoftwareComponent,5042,Object
ProductionPartStateMachineType_Interrupted,5043,Object
ProductionPartStateMachineType_AbortedToScheduled,5044,Object
ProductionPartStateMachineType_FinishedToScheduled,5045,Object
EquipmentType_Tools,5046,Object
ProductionProgramType_State_InitializedToAborted,5048,Object
MonitoringType_MachineTool,5049,Object
ProductionProgramType_State_InterruptedToAborted,5050,Object
MonitoringType_Stacklight,5052,Object
